0, 6114
100, 6323
200, 6191
300, 6377
400, 6486
500, 6537
600, 6552
700, 6607
800, 6695
900, 6603
1000, 6738
1100, 6479
1200, 6653
1300, 6877
1400, 6859
1500, 6943
1600, 6883
1700, 6980
1800, 7035
1900, 7191
2000, 6937
2100, 6894
2200, 7239
2300, 6926
2400, 6875
2500, 7235
2600, 7206
2700, 7109
2800, 7281
2900, 7273
3000, 7291
3100, 7149
3200, 7274
3300, 7151
3400, 7343
3500, 7358
3600, 7269
3700, 7061
3800, 7197
3900, 7330
4000, 7476
4100, 7058
4200, 7306
4300, 7372
4400, 7455
4500, 7408
4600, 7391
4700, 7219
4800, 7383
4900, 7216
5000, 7418
5100, 7280
5200, 7292
5300, 7441
5400, 7369
5500, 7394
5600, 6736
5700, 7421
5800, 7332
5900, 7545
6000, 7381
6100, 7470
6200, 7265
6300, 7480
6400, 7410
6500, 7583
6600, 7320
6700, 7618
6800, 7360
6900, 7521
7000, 7271
7100, 7363
7200, 7413
7300, 7287
7400, 7507
7500, 7413
7600, 7702
7700, 7468
7800, 7277
7900, 7491
8000, 7721
8100, 7416
8200, 7531
8300, 7624
8400, 7525
8500, 7698
8600, 7402
8700, 7424
8800, 7426
8900, 7695
9000, 7603
9100, 7355
9200, 7589
9300, 7763
9400, 7479
9500, 7480
9600, 7555
9700, 7774
9800, 7477
9900, 7662
10000, 7457
10100, 7644
10200, 7697
10300, 7555
10400, 7456
10500, 7728
10600, 7621
10700, 7059
10800, 7528
10900, 7373
11000, 7507
11100, 7608
11200, 7523
11300, 7466
11400, 7569
11500, 7564
11600, 7535
11700, 7506
11800, 7349
11900, 7366
12000, 7214
12100, 7422
12200, 7477
12300, 7035
12400, 7574
12500, 7551
12600, 7703
12700, 7693
12800, 7665
12900, 7671
13000, 7823
13100, 7765
13200, 7753
13300, 7546
13400, 7419
13500, 7425
13600, 7390
13700, 7550
13800, 7663
13900, 7566
14000, 7401
14100, 7623
14200, 7366
14300, 7440
14400, 7491
14500, 7526
14600, 7720
14700, 7543
14800, 7556
14900, 7685
15000, 7586
15100, 7794
15200, 7814
15300, 7466
15400, 7606
15500, 7721
15600, 7510
15700, 7637
15800, 7761
15900, 7924
16000, 7889
16100, 7530
16200, 7710
16300, 7697
16400, 7589
16500, 7594
16600, 7670
16700, 7878
16800, 7775
16900, 7831
17000, 7598
17100, 7661
17200, 7553
17300, 7640
17400, 7964
17500, 7790
17600, 7519
17700, 7586
17800, 7520
17900, 7664
18000, 7900
18100, 7796
18200, 7421
18300, 7556
18400, 7648
18500, 7552
18600, 7704
18700, 7749
18800, 7705
18900, 7602
19000, 7612
19100, 7553
19200, 7849
19300, 7815
19400, 7728
19500, 7885
19600, 7643
19700, 7777
19800, 7803
19900, 7739
20000, 7804
20100, 7705
20200, 7715
20300, 7666
20400, 7543
20500, 7644
20600, 7965
20700, 7797
20800, 7774
20900, 8059
21000, 7914
21100, 7819
21200, 7802
21300, 7616
21400, 7788
21500, 7590
21600, 7714
21700, 7857
21800, 7698
21900, 7701
22000, 7667
22100, 7734
22200, 7768
22300, 7888
22400, 7749
22500, 7632
22600, 7789
22700, 7791
22800, 7680
22900, 7822
23000, 8036
23100, 7790
23200, 7821
23300, 7843
23400, 7981
23500, 7545
23600, 7634
23700, 7721
23800, 7762
23900, 7821
24000, 7759
24100, 7806
24200, 7719
24300, 7890
24400, 7925
24500, 7666
24600, 7600
24700, 7743
24800, 8034
24900, 7682
25000, 7796
25100, 7731
25200, 7772
25300, 7699
25400, 7589
